agency,budget_type,appropriation_id,enacted_amount,enacted_type,text,page,description,year
OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,appropriation,"18 reimbursement (10318) ....................... 41,663,244",6,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,appropriation,"18 reimbursement (10318) ....................... 41,663,244",6,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,appropriation,"18 reimbursement (10318) ....................... 41,663,244",6,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,appropriation,"30 reimbursement (10319) ....................... 69,866,436",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,appropriation,"30 reimbursement (10319) ....................... 69,866,436",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,appropriation,"30 reimbursement (10319) ....................... 69,866,436",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,appropriation,"34 centers (10321) ................................ 353,000",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,appropriation,"34 centers (10321) ................................ 353,000",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,appropriation,"34 centers (10321) ................................ 353,000",7,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,appropriation,"14 reimbursement (10322) ....................... 40,491,920",8,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,appropriation,"14 reimbursement (10322) ....................... 40,491,920",8,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,appropriation,"14 reimbursement (10322) ....................... 40,491,920",8,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,appropriation,"19 director of the budget (10885) ............... 1,121,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,appropriation,"19 director of the budget (10885) ............... 1,121,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,appropriation,"19 director of the budget (10885) ............... 1,121,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,appropriation,"22 seling and assistance program (10335) ........ 1,000,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,appropriation,"22 seling and assistance program (10335) ........ 1,000,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,appropriation,"22 seling and assistance program (10335) ........ 1,000,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,appropriation,"29 grant objectives (10336) ....................... 175,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,appropriation,"29 grant objectives (10336) ....................... 175,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,appropriation,"29 grant objectives (10336) ....................... 175,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,appropriation,"45 Inc. (10341) ................................... 354,000",9,Enacted appropriation should appear as reappropriation in executive budget,2025
