type,agency,budget_type,appropriation_id,amount,text,page,source,year
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,"18 reimbursement (10318) ....................... 41,663,244",6,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,"18 reimbursement (10318) ....................... 41,663,244",6,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,41663244.0,"18 reimbursement (10318) ....................... 41,663,244",6,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,"30 reimbursement (10319) ....................... 69,866,436",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,"30 reimbursement (10319) ....................... 69,866,436",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,69866436.0,"30 reimbursement (10319) ....................... 69,866,436",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"34 centers (10321) ................................ 353,000",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"34 centers (10321) ................................ 353,000",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"34 centers (10321) ................................ 353,000",7,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,"14 reimbursement (10322) ....................... 40,491,920",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,"14 reimbursement (10322) ....................... 40,491,920",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,40491920.0,"14 reimbursement (10322) ....................... 40,491,920",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"24 aging (10323) ................................ 6,190,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"24 aging (10323) ................................ 6,190,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"24 aging (10323) ................................ 6,190,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"33 distributed by provider (10328) ................ 656,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"33 distributed by provider (10328) ................ 656,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"33 distributed by provider (10328) ................ 656,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"42 distributed by provider (10329) .............. 1,072,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"42 distributed by provider (10329) .............. 1,072,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"42 distributed by provider (10329) .............. 1,072,000",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,4027500.0,"52 (10330) ...................................... 4,027,500",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,4027500.0,"52 (10330) ...................................... 4,027,500",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,4027500.0,"52 (10330) ...................................... 4,027,500",8,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,4027500.0,"11 services (10331) ............................. 4,027,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,4027500.0,"11 services (10331) ............................. 4,027,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,4027500.0,"11 services (10331) ............................. 4,027,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"19 director of the budget (10885) ............... 1,121,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"19 director of the budget (10885) ............... 1,121,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"19 director of the budget (10885) ............... 1,121,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"22 seling and assistance program (10335) ........ 1,000,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"22 seling and assistance program (10335) ........ 1,000,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"22 seling and assistance program (10335) ........ 1,000,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"29 grant objectives (10336) ....................... 175,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"29 grant objectives (10336) ....................... 175,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"29 grant objectives (10336) ....................... 175,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"43 Medicare Rights Center (10340) ................... 793,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"43 Medicare Rights Center (10340) ................... 793,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"43 Medicare Rights Center (10340) ................... 793,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"45 Inc. (10341) ................................... 354,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"45 Inc. (10341) ................................... 354,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"45 Inc. (10341) ................................... 354,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"46 New York Legal Assistance Group (10342) .......... 222,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"46 New York Legal Assistance Group (10342) .......... 222,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"46 New York Legal Assistance Group (10342) .......... 222,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10343,111000.0,"47 Legal Aid Society of New York (10343) ............ 111,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10343,111000.0,"47 Legal Aid Society of New York (10343) ............ 111,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10343,111000.0,"47 Legal Aid Society of New York (10343) ............ 111,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10345,155000.0,"48 Empire Justice Center (10345) .................... 155,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10345,155000.0,"48 Empire Justice Center (10345) .................... 155,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10345,155000.0,"48 Empire Justice Center (10345) .................... 155,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10346,132000.0,"49 Community Service Society (10346) ................ 132,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10346,132000.0,"49 Community Service Society (10346) ................ 132,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10346,132000.0,"49 Community Service Society (10346) ................ 132,000",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10324,216500.0,"51 senior volunteer program (RSVP) (10324) ........ 216,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10324,216500.0,"51 senior volunteer program (RSVP) (10324) ........ 216,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10324,216500.0,"51 senior volunteer program (RSVP) (10324) ........ 216,500",9,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10325,118500.0,"2 senior respite program (10325) ................. 118,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10325,118500.0,"2 senior respite program (10325) ................. 118,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10325,118500.0,"2 senior respite program (10325) ................. 118,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10326,71000.0,"5 program (10326) ................................. 71,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10326,71000.0,"5 program (10326) ................................. 71,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10326,71000.0,"5 program (10326) ................................. 71,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,"8 ing and respite care program (10327) ............ 86,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,"8 ing and respite care program (10327) ............ 86,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10327,86000.0,"8 ing and respite care program (10327) ............ 86,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,"10 grandparents program (10332) .................... 98,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,"10 grandparents program (10332) .................... 98,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10332,98000.0,"10 grandparents program (10332) .................... 98,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,"14 elderly (10333) ................................ 745,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,"14 elderly (10333) ................................ 745,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10333,745000.0,"14 elderly (10333) ................................ 745,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,"19 dents (10866) .................................. 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,"19 dents (10866) .................................. 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10866,122500.0,"19 dents (10866) .................................. 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,"25 regarding the quality of services (10867) ...... 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,"25 regarding the quality of services (10867) ...... 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10867,122500.0,"25 regarding the quality of services (10867) ...... 122,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,"33 among the counties (10320) ..................... 403,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,"33 among the counties (10320) ..................... 403,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10320,403000.0,"33 among the counties (10320) ..................... 403,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,"37 project (10334) ................................. 31,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,"37 project (10334) ................................. 31,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10334,31500.0,"37 project (10334) ................................. 31,500",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,"44 reporting (10833) ............................ 1,500,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,"44 reporting (10833) ............................ 1,500,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10833,1500000.0,"44 reporting (10833) ............................ 1,500,000",10,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10810,250000.0,"11 ers in a timely manner (10810) ................. 250,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10810,250000.0,"11 ers in a timely manner (10810) ................. 250,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10810,250000.0,"11 ers in a timely manner (10810) ................. 250,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10715,1000000.0,"26 wills (10715) ................................ 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10715,1000000.0,"26 wills (10715) ................................ 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10715,1000000.0,"26 wills (10715) ................................ 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10735,1000000.0,"37 ations (10735) ............................... 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10735,1000000.0,"37 ations (10735) ............................... 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10735,1000000.0,"37 ations (10735) ............................... 1,000,000",11,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10716,53000000.0,"12 (10716) ..................................... 53,000,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10716,53000000.0,"12 (10716) ..................................... 53,000,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10716,53000000.0,"12 (10716) ..................................... 53,000,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10736,250000.0,"15 of Lifespan of Greater Rochester (10736) ....... 250,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,"20 opportunities (10737) .......................... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,"20 opportunities (10737) .......................... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10737,350000.0,"20 opportunities (10737) .......................... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10738,350000.0,"22 vation to reduce social isolation (10738) ...... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10738,350000.0,"22 vation to reduce social isolation (10738) ...... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10738,350000.0,"22 vation to reduce social isolation (10738) ...... 350,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,"27 learning opportunities (10739) ................. 200,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,"27 learning opportunities (10739) ................. 200,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10739,200000.0,"27 learning opportunities (10739) ................. 200,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,"32 come older adults (10740) ...................... 700,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,"32 come older adults (10740) ...................... 700,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10740,700000.0,"32 come older adults (10740) ...................... 700,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10741,400000.0,"34 caregiver training and supports (10741) ........ 400,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10741,400000.0,"34 caregiver training and supports (10741) ........ 400,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10741,400000.0,"34 caregiver training and supports (10741) ........ 400,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,"37 capacity building (10742) ...................... 500,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,"37 capacity building (10742) ...................... 500,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10742,500000.0,"37 capacity building (10742) ...................... 500,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10743,150000.0,"40 volunteers (10743) ............................. 150,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10743,150000.0,"40 volunteers (10743) ............................. 150,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10743,150000.0,"40 volunteers (10743) ............................. 150,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10755,750000.0,"44 to ten counties (10755) ........................ 750,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10755,750000.0,"44 to ten counties (10755) ........................ 750,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10755,750000.0,"44 to ten counties (10755) ........................ 750,000",12,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,"32 Title III-b social services (10894) ........... 49,069,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,"32 Title III-b social services (10894) ........... 49,069,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10894,49069000.0,"32 Title III-b social services (10894) ........... 49,069,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,"36 nutrition program activities (10893) ........ 69,610,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,"36 nutrition program activities (10893) ........ 69,610,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10893,69610000.0,"36 nutrition program activities (10893) ........ 69,610,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10892,12000000.0,"37 Title III-e caregivers (10892) ................ 12,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10892,12000000.0,"37 Title III-e caregivers (10892) ................ 12,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10892,12000000.0,"37 Title III-e caregivers (10892) ................ 12,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,"38 Health and human services programs (10891) .... 14,965,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,"38 Health and human services programs (10891) .... 14,965,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10891,14965000.0,"38 Health and human services programs (10891) .... 14,965,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,"39 Nutrition services incentive program (10890) .. 17,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,"39 Nutrition services incentive program (10890) .. 17,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10890,17000000.0,"39 Nutrition services incentive program (10890) .. 17,000,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,"48 (10883) ........................................ 600,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,"48 (10883) ........................................ 600,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10883,600000.0,"48 (10883) ........................................ 600,000",15,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,"9 federal older Americans act (10887) .......... 9,000,000",16,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,"9 federal older Americans act (10887) .......... 9,000,000",16,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10887,9000000.0,"9 federal older Americans act (10887) .......... 9,000,000",16,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,"17 office for the aging (81034) ................... 980,000",16,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,"17 office for the aging (81034) ................... 980,000",16,enacted,2025
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,81034,980000.0,"17 office for the aging (81034) ................... 980,000",16,enacted,2025
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,39363000.0,"35 39,509,508 ....................................... (re. $39,363,000)",17,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,39363000.0,"35 39,509,508 ....................................... (re. $39,363,000)",17,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,65887000.0,"25 68,357,277 ....................................... (re. $65,887,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,65887000.0,"25 68,357,277 ....................................... (re. $65,887,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,353000.0,"28 353,000 ............................................. (re. $353,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,353000.0,"28 353,000 ............................................. (re. $353,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,37961000.0,"48 38,153,816 ....................................... (re. $37,961,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,37961000.0,"48 38,153,816 ....................................... (re. $37,961,000)",18,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,3145000.0,"3 3,690,000 ......................................... (re. $3,145,000)",19,enacted,2024
reappropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,N/A,3145000.0,"3 3,690,000 ......................................... (re. $3,145,000)",19,enacted,2024
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"9 distributed by provider (10328) ... 656,000 ......... (re. $656,000)",19,enacted,2024
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"9 distributed by provider (10328) ... 656,000 ......... (re. $656,000)",19,enacted,2024
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"9 distributed by provider (10328) ... 656,000 ......... (re. $656,000)",19,enacted,2024
