type,agency,budget_type,appropriation_id,amount,text,page,source,year
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,42720564.0,"8 reimbursement (10318) ....................... 42,720,564",5,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,42720564.0,"8 reimbursement (10318) ....................... 42,720,564",5,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10318,42720564.0,"8 reimbursement (10318) ....................... 42,720,564",5,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,71197876.0,"9 reimbursement (10319) ....................... 71,197,876",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,71197876.0,"9 reimbursement (10319) ....................... 71,197,876",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10319,71197876.0,"9 reimbursement (10319) ....................... 71,197,876",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"13 centers (10321) ................................ 353,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"13 centers (10321) ................................ 353,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10321,353000.0,"13 centers (10321) ................................ 353,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,42019160.0,"45 reimbursement (10322) ....................... 42,019,160",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,42019160.0,"45 reimbursement (10322) ....................... 42,019,160",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10322,42019160.0,"45 reimbursement (10322) ....................... 42,019,160",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"55 aging (10323) ................................ 6,190,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"55 aging (10323) ................................ 6,190,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10323,6190000.0,"55 aging (10323) ................................ 6,190,000",6,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"2 distributed by provider (10328) ................ 656,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"2 distributed by provider (10328) ................ 656,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10328,656000.0,"2 distributed by provider (10328) ................ 656,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"11 distributed by provider (10329) .............. 1,072,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"11 distributed by provider (10329) .............. 1,072,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10329,1072000.0,"11 distributed by provider (10329) .............. 1,072,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,8027500.0,"21 (10330) ...................................... 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,8027500.0,"21 (10330) ...................................... 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10330,8027500.0,"21 (10330) ...................................... 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,8027500.0,"32 services (10331) ............................. 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,8027500.0,"32 services (10331) ............................. 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10331,8027500.0,"32 services (10331) ............................. 8,027,500",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"40 director of the budget (10885) ............... 1,121,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"40 director of the budget (10885) ............... 1,121,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10885,1121000.0,"40 director of the budget (10885) ............... 1,121,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"43 seling and assistance program (10335) ........ 1,000,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"43 seling and assistance program (10335) ........ 1,000,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10335,1000000.0,"43 seling and assistance program (10335) ........ 1,000,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"50 grant objectives (10336) ....................... 175,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"50 grant objectives (10336) ....................... 175,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10336,175000.0,"50 grant objectives (10336) ....................... 175,000",7,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"2 Medicare Rights Center (10340) ................... 793,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"2 Medicare Rights Center (10340) ................... 793,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10340,793000.0,"2 Medicare Rights Center (10340) ................... 793,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"4 Inc. (10341) ................................... 354,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"4 Inc. (10341) ................................... 354,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10341,354000.0,"4 Inc. (10341) ................................... 354,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"5 New York Legal Assistance Group (10342) .......... 222,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"5 New York Legal Assistance Group (10342) .......... 222,000",8,executive,2026
appropriation,OFFICE FOR THE AGING,AID TO LOCALITIES,10342,222000.0,"5 New York Legal Assistance Group (10342) .......... 222,000",8,executive,2026
